profile_id,education_level,OL_subject_0_score,OL_subject_1_score,OL_subject_2_score,OL_subject_3_score,OL_subject_4_score,OL_subject_5_score,career_0,career_1,career_2,career_3,career_4,career_5,AL_stream,AL_subject_10_score,AL_subject_11_score,AL_subject_12_score,AL_subject_3_score,AL_subject_1_score,AL_subject_0_score,university_score,gpa,AL_subject_2_score,AL_subject_4_score,AL_subject_5_score,AL_subject_6_score,AL_subject_7_score,AL_subject_8_score,AL_subject_9_score
11,0,29,17,77,85,0,56,0.6345000000000001,0.6639999999999999,0.5845,0.48850000000000005,0.4385,0.5885,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
12,0,6,63,22,46,17,15,0.63,0.7055,0.58,0.461,0.41100000000000003,0.561,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,2,2,3,88,68,93,22,0.5990000000000001,0.6485,0.8810000000000001,0.494,0.5925000000000001,0.7920000000000001,4.0,39.0,25.0,83.0,-1.0,-1.0,-1.0,94.0,2.99,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
14,0,98,94,91,31,15,47,0.7875,0.7865,0.7374999999999999,0.4955,0.4455,0.5955,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
15,0,98,11,39,39,78,56,0.6785,0.6359999999999999,0.6285,0.46950000000000003,0.41950000000000004,0.5695,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
16,1,28,7,16,64,77,12,0.95,0.6184999999999999,0.543,0.458,0.40800000000000003,0.558,0.0,-1.0,-1.0,-1.0,-1.0,21.0,90.0,-1.0,-1.0,82.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
17,1,92,44,62,85,16,40,0.7170000000000001,0.697,0.667,0.6250000000000001,0.43100000000000005,0.5810000000000001,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,44.0,28.0,39.0,-1.0,-1.0,-1.0
18,1,92,95,42,69,84,67,0.7580000000000001,0.7635,0.7080000000000001,0.725,0.42100000000000004,0.5710000000000001,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.0,77.0,69.0,-1.0,-1.0,-1.0
19,0,42,16,94,34,28,49,0.6550000000000001,0.671,0.6050000000000001,0.497,0.447,0.5970000000000001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
20,1,38,30,31,87,67,32,0.6335000000000001,0.6605,0.5835,0.4655,0.41550000000000004,0.5655,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,44.0,88.0,90.0
21,1,10,79,34,90,94,51,0.656,0.7354999999999999,0.63,0.467,0.41700000000000004,0.5670000000000001,4.0,96.0,4.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
22,2,51,89,96,72,61,61,0.9290000000000002,0.7815000000000001,0.6880000000000001,0.498,0.643,0.88,0.0,-1.0,-1.0,-1.0,-1.0,98.0,25.0,85.0,3.3,47.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
23,0,82,21,56,16,13,37,0.681,0.6595,0.631,0.47800000000000004,0.42800000000000005,0.5780000000000001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
24,1,55,10,57,63,51,11,0.6435,0.6435,0.5934999999999999,0.47850000000000004,0.4285,0.5785,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23.0,24.0,91.0
25,0,16,6,38,73,29,2,0.5910000000000001,0.628,0.541,0.46900000000000003,0.41900000000000004,0.5690000000000001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
26,0,8,90,31,14,0,28,0.6635,0.7505,0.6134999999999999,0.4655,0.41550000000000004,0.5655,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
27,1,49,49,31,63,33,16,0.95,0.689,0.6134999999999999,0.4655,0.41550000000000004,0.5655,0.0,-1.0,-1.0,-1.0,-1.0,32.0,54.0,-1.0,-1.0,95.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
28,0,97,98,89,4,25,25,0.7895000000000001,0.7915,0.7395,0.4945,0.4445,0.5945,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
29,2,78,17,26,50,77,74,0.926,0.6385,0.608,0.463,0.5690000000000001,0.88,0.0,-1.0,-1.0,-1.0,-1.0,97.0,53.0,82.0,3.04,54.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
30,1,38,96,7,23,80,66,0.9065,0.7474999999999999,0.6375,0.4535,0.4035,0.5535,0.0,-1.0,-1.0,-1.0,-1.0,38.0,18.0,-1.0,-1.0,61.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
31,1,34,18,34,20,80,63,0.6190000000000001,0.644,0.5690000000000001,0.48300000000000004,0.41700000000000004,0.5670000000000001,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,1.0,67.0,-1.0,-1.0,-1.0
32,0,45,85,54,63,93,49,0.7070000000000001,0.7545000000000001,0.657,0.47700000000000004,0.42700000000000005,0.5770000000000001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
33,1,14,80,9,24,96,94,0.6485,0.92,0.5984999999999999,0.4545,0.4045,0.5545,1.0,-1.0,-1.0,-1.0,18.0,97.0,59.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34,0,99,59,6,98,83,88,0.7110000000000001,0.6915,0.661,0.453,0.403,0.553,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
35,1,61,31,21,54,6,72,0.6525,0.6569999999999999,0.6024999999999999,0.5925,0.41050000000000003,0.5605,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36.0,30.0,62.0,-1.0,-1.0,-1.0
36,0,61,34,77,58,39,97,0.6835,0.6895,0.6335,0.48850000000000005,0.4385,0.5885,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
37,0,71,79,60,33,45,28,0.7300000000000001,0.7484999999999999,0.68,0.48,0.43000000000000005,0.5800000000000001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
38,0,52,96,87,92,56,22,0.7415,0.7875,0.6915,0.4935,0.4435,0.5935,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
39,0,70,68,95,37,46,65,0.7355,0.7494999999999999,0.6855,0.4975,0.4475,0.5975,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
40,2,46,39,87,20,90,31,0.6785,0.702,0.8604999999999999,0.4935,0.625,0.8355,4.0,72.0,99.0,58.0,-1.0,-1.0,-1.0,83.0,3.21,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
41,1,90,0,65,54,36,6,0.6725,0.6325,0.9,0.48250000000000004,0.4325,0.5825,4.0,36.0,87.0,70.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42,1,93,6,85,69,73,66,0.6915,0.6515,0.6415,0.4925,0.4425,0.5925,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,90.0,40.0,58.0
43,1,25,76,63,58,8,9,0.6825,0.7454999999999999,0.6325,0.48150000000000004,0.4315,0.5815,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23.0,22.0,44.0
44,2,58,0,42,50,13,84,0.6290000000000001,0.621,0.8470000000000001,0.47100000000000003,0.616,0.8310000000000001,4.0,63.0,84.0,67.0,-1.0,-1.0,-1.0,98.0,3.3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
45,0,95,31,59,21,27,85,0.7055,0.6759999999999999,0.6555,0.47950000000000004,0.4295,0.5795,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
46,1,22,6,99,34,71,41,0.6275000000000001,0.6585,0.9,0.4995,0.4495,0.5995,4.0,99.0,67.0,97.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
47,0,74,44,75,44,51,57,0.7055,0.7034999999999999,0.6555,0.48750000000000004,0.4375,0.5875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
48,0,51,90,50,4,42,55,0.7160000000000001,0.76,0.666,0.47500000000000003,0.42500000000000004,0.5750000000000001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
49,1,35,56,72,83,66,4,0.677,0.72,0.891,0.486,0.436,0.5860000000000001,4.0,35.0,64.0,66.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
50,0,41,8,95,75,14,72,0.6465000000000001,0.6595,0.5965,0.4975,0.4475,0.5975,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
51,0,30,30,6,54,39,84,0.6130000000000001,0.648,0.5630000000000001,0.453,0.403,0.553,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
52,2,24,79,34,31,30,4,0.67,0.7354999999999999,0.62,0.5770000000000001,0.663,0.88,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,75.0,3.64,-1.0,50.0,5.0,26.0,-1.0,-1.0,-1.0
53,1,1,56,96,94,78,37,0.8560000000000001,0.732,0.6050000000000001,0.498,0.448,0.5980000000000001,0.0,-1.0,-1.0,-1.0,-1.0,68.0,15.0,-1.0,-1.0,57.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
54,2,33,17,85,87,22,57,0.6425000000000001,0.6679999999999999,0.5925,0.4925,0.66,0.88,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,64.0,3.45,-1.0,-1.0,-1.0,-1.0,18.0,40.0,36.0
55,0,90,0,61,38,23,35,0.6705,0.6305,0.6204999999999999,0.48050000000000004,0.4305,0.5805,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
56,0,72,36,96,74,85,44,0.7060000000000001,0.7020000000000001,0.656,0.498,0.448,0.5980000000000001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
57,1,37,37,64,92,60,6,0.656,0.6875,0.894,0.482,0.43200000000000005,0.5820000000000001,4.0,80.0,89.0,72.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
58,2,35,80,43,13,65,51,0.6865,0.7414999999999999,0.9,0.47150000000000003,0.7140000000000001,0.88,4.0,94.0,7.0,94.0,-1.0,-1.0,-1.0,62.0,3.95,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
59,1,95,4,29,76,4,81,0.6635,0.6204999999999999,0.6134999999999999,0.7224999999999999,0.41450000000000004,0.5645,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.0,80.0,91.0,-1.0,-1.0,-1.0
60,2,45,39,19,11,82,86,0.6435000000000001,0.817,0.5935,0.4595,0.5325,0.88,1.0,-1.0,-1.0,-1.0,25.0,13.0,41.0,88.0,2.82,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
61,0,23,29,10,73,86,89,0.6070000000000001,0.6485,0.557,0.455,0.405,0.555,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
62,2,40,17,15,45,24,58,0.6145,0.6329999999999999,0.5645,0.4575,0.7074999999999999,0.88,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,84.0,4.0,-1.0,-1.0,-1.0,-1.0,83.0,46.0,11.0
63,0,12,78,85,32,87,30,0.6825,0.7595,0.6325,0.4925,0.4425,0.5925,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
64,1,43,68,90,31,23,61,0.7060000000000001,0.747,0.9,0.495,0.445,0.5950000000000001,4.0,21.0,36.0,62.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
65,2,93,35,9,22,37,92,0.6825,0.6569999999999999,0.9,0.4545,0.5065,0.6905,4.0,7.0,92.0,96.0,-1.0,-1.0,-1.0,92.0,2.68,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
66,1,65,92,1,12,51,34,0.7075,0.7384999999999999,0.6575,0.4505,0.4005,0.5505,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,30.0,63.0
67,1,78,8,86,85,73,20,0.6790000000000002,0.655,0.6290000000000001,0.493,0.443,0.5930000000000001,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,34.0,94.0,27.0
68,1,5,72,69,99,53,17,0.6615,0.7424999999999999,0.6275,0.4845,0.4345,0.5845,4.0,9.0,76.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
69,0,57,18,18,17,55,62,0.634,0.636,0.584,0.459,0.40900000000000003,0.559,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
70,0,8,10,10,48,30,6,0.5730000000000001,0.62,0.523,0.455,0.405,0.555,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
71,0,29,64,39,93,68,50,0.6625,0.7154999999999999,0.6124999999999999,0.46950000000000003,0.41950000000000004,0.5695,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
72,0,15,26,34,46,42,87,0.6080000000000001,0.656,0.558,0.467,0.41700000000000004,0.5670000000000001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
73,0,85,43,9,86,9,64,0.6825,0.6689999999999999,0.6325,0.4545,0.4045,0.5545,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
74,0,25,16,37,4,94,27,0.6095,0.6425,0.5595,0.4685,0.41850000000000004,0.5685,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
75,1,24,83,31,96,15,29,0.6725,0.92,0.6224999999999999,0.4655,0.41550000000000004,0.5655,1.0,-1.0,-1.0,-1.0,14.0,34.0,49.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
76,1,96,28,76,1,60,68,0.7120000000000001,0.92,0.662,0.488,0.43800000000000006,0.5880000000000001,1.0,-1.0,-1.0,-1.0,67.0,14.0,80.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
77,1,16,46,96,30,88,13,0.6600000000000001,0.7170000000000001,0.6100000000000001,0.498,0.448,0.5980000000000001,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,71.0,35.0,22.0
78,0,98,58,28,90,10,51,0.7200000000000001,0.701,0.67,0.464,0.41400000000000003,0.5640000000000001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
79,1,54,79,95,69,27,64,0.7305,0.7659999999999999,0.8805,0.4975,0.4475,0.5975,4.0,14.0,41.0,50.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
80,1,7,65,4,29,63,1,0.6240000000000001,0.6995,0.5740000000000001,0.6980000000000001,0.402,0.552,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,68.0,55.0,61.0,-1.0,-1.0,-1.0
81,1,30,72,94,40,0,12,0.6990000000000001,0.755,0.9,0.497,0.447,0.5970000000000001,4.0,44.0,15.0,86.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
82,1,73,54,62,88,65,45,0.7080000000000001,0.712,0.9,0.481,0.43100000000000005,0.5810000000000001,4.0,83.0,18.0,71.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
83,1,35,68,47,6,99,36,0.6765,0.7254999999999999,0.8744999999999999,0.47350000000000003,0.42350000000000004,0.5735,4.0,21.0,41.0,62.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
84,1,8,86,20,47,78,30,0.654,0.92,0.604,0.46,0.41000000000000003,0.56,1.0,-1.0,-1.0,-1.0,14.0,61.0,48.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
85,0,14,69,48,43,61,19,0.657,0.7275,0.607,0.47400000000000003,0.42400000000000004,0.5740000000000001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
86,1,68,65,31,11,88,82,0.6985,0.713,0.6885,0.4655,0.41550000000000004,0.5655,4.0,32.0,63.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
87,0,60,56,84,19,1,94,0.7080000000000001,0.726,0.658,0.492,0.442,0.5920000000000001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
88,0,26,77,77,23,0,72,0.6915,0.754,0.6415,0.48850000000000005,0.4385,0.5885,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
89,2,56,43,72,5,18,91,0.95,0.7005,0.635,0.486,0.625,0.88,0.0,-1.0,-1.0,-1.0,-1.0,32.0,98.0,71.0,3.26,37.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
90,1,27,20,10,12,23,62,0.6020000000000001,0.635,0.552,0.455,0.405,0.555,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,85.0,61.0,2.0
91,0,92,75,12,43,70,18,0.7230000000000001,0.7184999999999999,0.673,0.456,0.406,0.556,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
92,1,63,13,99,98,98,34,0.6755,0.6689999999999999,0.6255,0.4995,0.4495,0.5995,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,69.0,30.0,35.0
93,1,40,30,7,98,48,44,0.8715,0.6485,0.5735,0.4535,0.4035,0.5535,0.0,-1.0,-1.0,-1.0,-1.0,41.0,76.0,-1.0,-1.0,32.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
94,0,62,35,56,67,87,61,0.675,0.6805,0.625,0.47800000000000004,0.42800000000000005,0.5780000000000001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
95,1,75,11,88,32,52,32,0.68,0.6605,0.666,0.494,0.444,0.5940000000000001,4.0,18.0,42.0,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
96,0,84,45,22,82,69,86,0.6900000000000001,0.6785,0.64,0.461,0.41100000000000003,0.561,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
97,0,70,24,63,48,76,6,0.6755,0.6675,0.6255,0.48150000000000004,0.4315,0.5815,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
98,0,67,52,65,79,45,13,0.7015,0.7104999999999999,0.6515,0.48250000000000004,0.4325,0.5825,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
99,1,53,42,75,34,13,88,0.6825,0.7005,0.6325,0.7635,0.4375,0.5875,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45.0,93.0,87.0,-1.0,-1.0,-1.0
100,1,30,14,44,90,77,26,0.6160000000000001,0.643,0.5660000000000001,0.5940000000000001,0.42200000000000004,0.5720000000000001,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,42.0,16.0,-1.0,-1.0,-1.0
101,0,50,29,15,33,30,70,0.6365,0.6509999999999999,0.5864999999999999,0.4575,0.40750000000000003,0.5575,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
102,1,33,15,3,30,2,64,0.5995,0.6239999999999999,0.5495,0.6695,0.4015,0.5515,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,95.0,14.0,16.0,-1.0,-1.0,-1.0
103,0,82,33,51,89,9,8,0.6905,0.6749999999999999,0.6405,0.47550000000000003,0.42550000000000004,0.5755,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
